Chemical,Demand by society 2030 (MMT),Total price 2030 (billion USD),Total GHG emissions 2030  (MMT CO2 eq),Total fossil fuel depletion 2030 (MMT oil eq),"Total human toxicity 2030 (MMT 1,4-DCB eq)",Total land use 2030 (km2*a crop eq),Total water depletion 2030 (km3),Demand by society 2050 (MMT),Total price 2050 (billion USD),Total GHG emissions 2050  (MMT CO2 eq),Total fossil fuel depletion 2050 (MMT oil eq),"Total human toxicity 2050 (MMT 1,4-DCB eq)",Total land use 2050 (km2*a crop eq),Total water depletion 2050 (km3),product_name,product_flow,excess
"1,4-Butanediol",0.246895228,0.467125772,1.154728982,0.41700604,0.901661373,27.40512344,0.061353464,0.281053036,0.531752344,1.314485049,0.474698578,1.026405687,31.19660593,0.069841679,"1,4-Butanediol",0.28105303599999987,1.1102230246251565e-16
2-Ethylhexanol,0.467912613,0.760357995,1.138431386,0.726574705,0.143181259,1.824859189,0.003773715,0.565315922,0.918638373,1.375413638,0.877822563,0.172986672,2.204732095,0.004559273,2-Ethylhexanol,0.565315922,0.0
Acetic acid,2.105877597,1.059256431,4.668730633,2.354371153,4.036967353,79.35157373,0.117086794,3.587913766,1.804720624,7.954404819,4.01128759,6.878030689,135.1961786,0.199488005,Acetic acid,3.587913766,0.0
Acetic anhydride,0.832482844,1.156485167,3.468123529,1.381089039,2.74552842,65.98092527,0.163166637,1.08855494,1.512220522,4.534919879,1.805912645,3.590054191,86.27668742,0.213356768,Acetic anhydride,1.08855494,0.0
Acetone,1.125517861,0.962767978,1.81546031,0.994957789,1.376508344,20.4990568,0.02082208,0.902148899,0.771698168,1.455166173,0.797499626,1.103328103,16.43083789,0.016689755,Acetone,1.1255178610001597,0.22336896200015977
Acrylic acid,1.182265235,1.743841221,2.725121366,1.288669106,1.306403084,18.85121917,0.013714277,1.372827642,2.024920772,3.164367716,1.49638213,1.516974545,21.88973676,0.015924801,Acrylic acid,1.372827642,0.0
Acrylonitrile,1.009905038,1.443659251,3.664945382,1.796621062,1.719868279,31.71909743,0.046455632,1.269399377,1.814606409,4.606650338,2.258261491,2.161787139,39.86929563,0.058392371,Acrylonitrile,1.269399377,0.0
Adipic acid,0.860368327,1.329914342,7.554033914,1.631258349,2.611217873,95.78136441,0.035016991,1.092181119,1.688238965,9.589350225,2.070775402,3.314769696,121.5881553,0.044451772,Adipic acid,1.092181119,0.0
Aniline,0.246874592,0.306175927,1.189441786,0.483627327,1.959937389,15.6562929,0.01525685,0.40849777,0.506622339,1.968142256,0.800247131,3.243063796,25.90611158,0.025245162,Aniline,0.40849777,0.0
Benzene,0.229841196,0.178080958,0.43830716,0.344302111,0.13077964,2.250145306,0.006987172,0.239211637,0.185341176,0.456176592,0.358339032,0.136111421,2.341881925,0.007272034,Benzene,0.23921163699999995,5.551115123125783e-17
Bisphenol-A,0.733073699,1.315378573,2.73509797,1.466147397,2.038677956,32.39086138,0.034234542,0.704301258,1.263751223,2.627747992,1.408602515,1.958661797,31.11955107,0.032890869,Bisphenol-A,0.733073699,0.028772440999999982
Butadiene,0.97574913,0.938046823,1.16602021,1.387515263,0.050738955,0.051714704,0.006732669,0.995450622,0.956987063,1.189563493,1.415530784,0.051763432,0.052758883,0.006868609,Butadiene,0.9954506219999997,3.3306690738754696e-16
Butanol,1.018698594,1.426178031,3.742698633,1.901910274,2.965431606,68.00322462,0.02862543,1.148167689,1.607434764,4.218368089,2.143629075,3.342316142,76.64593407,0.032263512,Butanol,1.148167689,0.0
