Chemical,Long name,product_flow_x,product_flow_y,percent,Feedstock
Acetone,Conventional benzene conversion to acetone,0.5171215123057883,1.1255178610001597,45.94520711081944,Conventional benzene conversion to acetone
Benzene,Biomass pyrolysis to benzene,0.0,7.505524698248621,0.0,Biomass pyrolysis to benzene
Benzene,Biomass to benzene via syngas and MTA,0.9335076444024756,7.505524698248621,12.43760672215635,Biomass to benzene via syngas and MTA
Benzene,Plastic to benzene via syngas and MTA,2.5805144738206654e-15,7.505524698248621,3.4381533304697754e-14,Plastic to benzene via syngas and MTA
Benzene,CO2 to benzene via syngas and MTA,0.0,7.505524698248621,0.0,CO2 to benzene via syngas and MTA
Benzene,CO2 to benzene via thermochem and MTA,0.0,7.505524698248621,0.0,CO2 to benzene via thermochem and MTA
Benzene,CO2 to benzene via electrochem and MTA,0.0,7.505524698248621,0.0,CO2 to benzene via electrochem and MTA
Ethylene,Biomass pyrolysis to ethylene,0.0,55.900914895425025,0.0,Biomass pyrolysis to ethylene
Ethylene,CO2 to ethylene via thermochem and methanol-to-olefins,14.585917285791194,55.900914895425025,26.092448241817443,CO2 to ethylene via thermochem and methanol-to-olefins
Ethylene,Biomass to ethylene via syngas and methanol-to-olefins,3.2690200786427877,55.900914895425025,5.847882963558306,Biomass to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via syngas and methanol-to-olefins,0.0,55.900914895425025,0.0,CO2 to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via electrochem and methanol-to-olefins,0.0,55.900914895425025,0.0,CO2 to ethylene via electrochem and methanol-to-olefins
Phenol,Conventional benzene conversion to phenol,0.8408427810000001,0.8927574039999943,94.18491263501248,Conventional benzene conversion to phenol
Propylene,Biomass to propylene via syngas and methanol-to-olefins,3.2690200786427877,17.85493736443398,18.308773712947826,Biomass to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via syngas and methanol-to-olefins,0.0,17.85493736443398,0.0,CO2 to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via thermochem and methanol-to-olefins,14.585917285791194,17.85493736443398,81.69122628705219,CO2 to propylene via thermochem and methanol-to-olefins
Propylene,Biomass pyrolysis to propylene,0.0,17.85493736443398,0.0,Biomass pyrolysis to propylene
Propylene,CO2 to propylene via electrochem and methanol-to-olefins,0.0,17.85493736443398,0.0,CO2 to propylene via electrochem and methanol-to-olefins
Toluene,Biomass pyrolysis to toluene,0.0,7.236769638492001,0.0,Biomass pyrolysis to toluene
Toluene,Biomass to toluene via syngas and MTA,2.9508381867030127,7.236769638492001,40.77562689031385,Biomass to toluene via syngas and MTA
Toluene,Plastic to toluene via syngas and MTA,8.157062983200202e-15,7.236769638492001,1.1271690810514693e-13,Plastic to toluene via syngas and MTA
Toluene,CO2 to toluene via syngas and MTA,0.0,7.236769638492001,0.0,CO2 to toluene via syngas and MTA
Toluene,CO2 to toluene via thermochem and MTA,0.0,7.236769638492001,0.0,CO2 to toluene via thermochem and MTA
Toluene,CO2 to toluene via electrochem and MTA,0.0,7.236769638492001,0.0,CO2 to toluene via electrochem and MTA
Xylenes,Biomass pyrolysis to xylenes,0.0,9.405717830444983,0.0,Biomass pyrolysis to xylenes
Xylenes,Biomass to xylenes via syngas and MTA,6.049038572741987,9.405717830444983,64.31235426988997,Biomass to xylenes via syngas and MTA
Xylenes,Plastic to xylenes via syngas and MTA,0.0,9.405717830444983,0.0,Plastic to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via syngas and MTA,0.0,9.405717830444983,0.0,CO2 to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via thermochem and MTA,0.0,9.405717830444983,0.0,CO2 to xylenes via thermochem and MTA
Xylenes,CO2 to xylenes via electrochem and MTA,0.0,9.405717830444983,0.0,CO2 to xylenes via electrochem and MTA
"1,4-Butanediol","Ethanol fermentation to 1,4-BDO",0.03415780799999987,0.28105303599999987,12.153509702702477,"Ethanol fermentation to 1,4-BDO"
"1,4-Butanediol","Conventional 1,4-butanediol production",0.24689522800000002,0.28105303599999987,87.84649029729754,"Conventional 1,4-butanediol production"
"1,4-Butanediol","Biomass fermentation to 1,4-BDO",0.0,0.28105303599999987,0.0,"Biomass fermentation to 1,4-BDO"
2-Ethylhexanol,Biomass gasification to 2-ethylhexanol via syngas,0.0,0.565315922,0.0,Biomass gasification to 2-ethylhexanol via syngas
Acetic acid,Conventional acetic acid production,2.1058775969999997,3.587913766,58.693651362411245,Conventional acetic acid production
Acetic acid,Biomass to acetic acid via syngas fermentation,1.482036169,3.587913766,41.30634863758874,Biomass to acetic acid via syngas fermentation
Acetic acid,CO2 fermentation to acetic acid,0.0,3.587913766,0.0,CO2 fermentation to acetic acid
Acetic acid,CO2 electrolysynthesis to acetic acid,0.0,3.587913766,0.0,CO2 electrolysynthesis to acetic acid
Acetone,Conventional acetone production,0.6083963486943714,1.1255178610001597,54.05479288918056,Conventional acetone production
Acetone,CO2 fermentation to acetone,0.0,1.1255178610001597,0.0,CO2 fermentation to acetone
Acrylic acid,Food waste dehydration via lactic acid,0.0,1.372827642,0.0,Food waste dehydration via lactic acid
Acrylic acid,Biomass fermentation to acrylic acid,0.0,1.372827642,0.0,Biomass fermentation to acrylic acid
Acrylonitrile,Food waste to acrylonitrile via VFAs,0.0,1.269399377,0.0,Food waste to acrylonitrile via VFAs
Adipic acid,Conventional butadiene conversion to adipic acid,0.860368327,1.092181119,78.77524268023902,Conventional butadiene conversion to adipic acid
Adipic acid,Conventional benzene conversion to adipic acid,0.23181279200000002,1.092181119,21.224757319760997,Conventional benzene conversion to adipic acid
Adipic acid,PET to adipic acid via TPA fermentation,0.0,1.092181119,0.0,PET to adipic acid via TPA fermentation
Adipic acid,Biomass fermentation to adipic acid,0.0,1.092181119,0.0,Biomass fermentation to adipic acid
Adipic acid,PS to adipic acid via benzoic acid,0.0,1.092181119,0.0,PS to adipic acid via benzoic acid
Aniline,Biomass fermentation to aniline,0.0,0.40849777,0.0,Biomass fermentation to aniline
Benzene,CH4 to benzene via bromination,1.177948975512231,7.505524698248621,15.694425411551837,CH4 to benzene via bromination
Benzene,Conventional benzene production,5.394068078333912,7.505524698248621,71.86796786629176,Conventional benzene production
Butadiene,Conventional butadiene production,0.09556848264501154,2.8494715644424997,3.3539019598431947,Conventional butadiene production
Butadiene,CO2 to butadiene via ethanol,2.753903081797488,2.8494715644424997,96.6460980401568,CO2 to butadiene via ethanol
Butanol,Biomass fermentation to butanol,0.0,1.148167689,0.0,Biomass fermentation to butanol
Butylene,Conventional butylene production,10.64458590174189,12.686055061412985,83.90776999005304,Conventional butylene production
Butylene,Biomass to butylene via DME,2.041469159671095,12.686055061412985,16.092230009946956,Biomass to butylene via DME
Butylene,CO2 to butylene via ethanol,0.0,12.686055061412985,0.0,CO2 to butylene via ethanol
Butylene,Biomass to butylene via ethanol,0.0,12.686055061412985,0.0,Biomass to butylene via ethanol
Caprolactam,Biomass fermentation to caprolactam,0.0,0.506452736,0.0,Biomass fermentation to caprolactam
Chloroform,Conventional chloroform production,0.08209373,0.24138873400000002,34.008931833579275,Conventional chloroform production
Chloroform,CH4 chlorination to chloroform,0.15929500400000002,0.24138873400000002,65.99106816642073,CH4 chlorination to chloroform
Cyclohexanol-cyclohexanone,Biomass to KA oil via RCF phenol,0.0,0.046554112,0.0,Biomass to KA oil via RCF phenol
Ethanol,Conventional ethanol production,0.0,53.13515298873615,0.0,Conventional ethanol production
Ethanol,Biomass fermentation to ethanol,0.0,53.13515298873615,0.0,Biomass fermentation to ethanol
Ethylene,Conventional ethylene production,16.59095959355694,55.900914895425025,29.679227298147058,Conventional ethylene production
Ethylene,CO2 fermentation to ethylene via ethanol,0.0,55.900914895425025,0.0,CO2 fermentation to ethylene via ethanol
Ethylene,Biomass fermentation to ethylene via ethanol,21.455017937434107,55.900914895425025,38.38044149647719,Biomass fermentation to ethylene via ethanol
Ethylene,CO2 electrolysis to ethylene,0.0,55.900914895425025,0.0,CO2 electrolysis to ethylene
Formaldehyde,Biomass to formaldehyde via syngas,0.0,7.274395224999999,0.0,Biomass to formaldehyde via syngas
Formaldehyde,CO2 conversion to formaldehyde via formic acid,0.0,7.274395224999999,0.0,CO2 conversion to formaldehyde via formic acid
Hexamethylenediamine,Biomass fermentation to hexamethylenediamine,0.0,0.913704585,0.0,Biomass fermentation to hexamethylenediamine
Isopropanol,Biomass fermentation to isopropanol,0.0,0.452470505,0.0,Biomass fermentation to isopropanol
Isopropanol,CO2 fermentation to isopropanol,0.0,0.452470505,0.0,CO2 fermentation to isopropanol
Lactic acid,Food waste to lactic acid by AAD,0.14158968799999722,0.5072396569999973,27.913765425481703,Food waste to lactic acid by AAD
Lactic acid,Conventional lactic acid production,0.3656499690000001,0.5072396569999973,72.0862345745183,Conventional lactic acid production
Lysine,CO2 fermentation to lysine,0.0,0.818882211,0.0,CO2 fermentation to lysine
Maleic anhydride,Conventional propylene via butanol to maleic anhydride,0.297802701,0.366990641,81.14721950089185,Conventional propylene via butanol to maleic anhydride
Maleic anhydride,Conventional butylene conversion to maleic anhydride,0.0,0.366990641,0.0,Conventional butylene conversion to maleic anhydride
Maleic anhydride,Biomass fermentation to maleic anhydride,0.06918794,0.366990641,18.852780499108153,Biomass fermentation to maleic anhydride
Methanol,Conventional methanol production,0.0,16.313574620465,0.0,Conventional methanol production
Methanol,Plastic to methanol via syngas,0.0,16.313574620465,0.0,Plastic to methanol via syngas
Methanol,CO2 to methanol via syngas,0.0,16.313574620465,0.0,CO2 to methanol via syngas
Methanol,CO2 to methanol via thermochemistry,0.0,16.313574620465,0.0,CO2 to methanol via thermochemistry
Methanol,CO2 to methanol via electrochemistry,0.0,16.313574620465,0.0,CO2 to methanol via electrochemistry
Methyl chloride,CH4 chlorination to methylamine,0.0,0.46615551999999993,0.0,CH4 chlorination to methylamine
Methylamine,Conventional methylamine produciton,0.27854383099999996,0.346670316,80.34833619847625,Conventional methylamine produciton
Methylamine,CH4 photocatalysis to methylamine,0.06812648499999999,0.346670316,19.651663801523746,CH4 photocatalysis to methylamine
Methylene diphenyl diisocyanate,CO2 fermentation to MDI via syngas,0.0,2.478864076,0.0,CO2 fermentation to MDI via syngas
Phenol,Conventional phenol production,0.05191462299999417,0.8927574039999943,5.8150873649875106,Conventional phenol production
Phenol,Biomass to phenol via RCF oil,0.0,0.8927574039999943,0.0,Biomass to phenol via RCF oil
Phosgene,CO2 to phosgene via syngas,0.0,5.011668735000001,0.0,CO2 to phosgene via syngas
Phosgene,Conventional phosgene production,0.0,5.011668735000001,0.0,Conventional phosgene production
Propylene,Conventional propylene production,0.0,17.85493736443398,0.0,Conventional propylene production
Propylene,CO2 fermentation to propylene via ethanol,0.0,17.85493736443398,0.0,CO2 fermentation to propylene via ethanol
Propylene,Biomass fermentation to propylene via ethanol,0.0,17.85493736443398,0.0,Biomass fermentation to propylene via ethanol
Propylene glycol,Lactic acid fermentation to propylene glycol,0.0,0.677784667,0.0,Lactic acid fermentation to propylene glycol
Sorbitol,Conventional sorbitol production,0.04966519299999992,0.440444654,11.276148444294643,Conventional sorbitol production
Sorbitol,Biomass fermentation to sorbitol,0.39077946100000005,0.440444654,88.72385155570535,Biomass fermentation to sorbitol
Toluene,Conventional toluene production,4.28593145178898,7.236769638492001,59.224373109686034,Conventional toluene production
Xylenes,Conventional xylenes production,3.356679257702996,9.405717830444983,35.68764573011002,Conventional xylenes production
