Feedstock_flow_x,Chemical,Feedstock,Long name,Feedstock_flow_y,percent
0.764532094410345,Acetone,Benzene,Conventional benzene conversion to acetone,1.663741897780626,45.9525660458635
0.0,Benzene,Woody biomass,Biomass pyrolysis to benzene,96.29881867746317,0.0
55.6221194840771,Benzene,Woody biomass,Biomass to benzene via syngas and MTA,96.29881867746317,57.75991881102313
5.10694136427005e-14,Benzene,Polyolefins,Plastic to benzene via syngas and MTA,96.29881867746317,5.3032232735636123e-14
0.0,Benzene,Carbon dioxide,CO2 to benzene via syngas and MTA,96.29881867746317,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via thermochem and MTA,96.29881867746317,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via electrochem and MTA,96.29881867746317,0.0
0.0,Ethylene,Woody biomass,Biomass pyrolysis to ethylene,369.8252894753951,0.0
98.8925191976643,Ethylene,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,369.8252894753951,26.740334426005695
35.7630796603521,Ethylene,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,369.8252894753951,9.670263413051815
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via syngas and methanol-to-olefins,369.8252894753951,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via electrochem and methanol-to-olefins,369.8252894753951,0.0
0.764532094410345,Phenol,Benzene,Conventional benzene conversion to phenol,0.8117224867173397,94.18638844196175
35.7630796603521,Propylene,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,134.6555988580164,26.558925112398345
0.0,Propylene,Carbon dioxide,CO2 to propylene via syngas and methanol-to-olefins,134.6555988580164,0.0
98.8925191976643,Propylene,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,134.6555988580164,73.44107488760166
0.0,Propylene,Woody biomass,Biomass pyrolysis to propylene,134.6555988580164,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via electrochem and methanol-to-olefins,134.6555988580164,0.0
0.0,Toluene,Woody biomass,Biomass pyrolysis to toluene,63.936826500547774,0.0
55.6221194840771,Toluene,Woody biomass,Biomass to toluene via syngas and MTA,63.936826500547774,86.99543366232068
5.10694136427005e-14,Toluene,Polyolefins,Plastic to toluene via syngas and MTA,63.936826500547774,7.987480210995922e-14
0.0,Toluene,Carbon dioxide,CO2 to toluene via syngas and MTA,63.936826500547774,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via thermochem and MTA,63.936826500547774,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via electrochem and MTA,63.936826500547774,0.0
0.0,Xylenes,Woody biomass,Biomass pyrolysis to xylenes,63.30891498421696,0.0
55.6221194840771,Xylenes,Woody biomass,Biomass to xylenes via syngas and MTA,63.30891498421696,87.85827319571628
0.0,Xylenes,Polyolefins,Plastic to xylenes via syngas and MTA,63.30891498421696,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via syngas and MTA,63.30891498421696,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via thermochem and MTA,63.30891498421696,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via electrochem and MTA,63.30891498421696,0.0
0.0261990387359999,"1,4-Butanediol",Ethanol,"Ethanol fermentation to 1,4-BDO",0.20149465061599992,13.002349519406811
0.17529561188,"1,4-Butanediol",Butadiene,"Conventional 1,4-butanediol production",0.20149465061599992,86.99765048059318
0.0,"1,4-Butanediol",Herbaceous biomass,"Biomass fermentation to 1,4-BDO",0.20149465061599992,0.0
0.0,2-Ethylhexanol,Woody biomass,Biomass gasification to 2-ethylhexanol via syngas,0.43529325994,0.0
1.17929145432,Acetic acid,Methanol,Conventional acetic acid production,4.269336866685,27.6223566128592
3.090045412365,Acetic acid,Woody biomass,Biomass to acetic acid via syngas fermentation,4.269336866685,72.3776433871408
0.0,Acetic acid,Carbon dioxide,CO2 fermentation to acetic acid,4.269336866685,0.0
0.0,Acetic acid,Carbon dioxide,CO2 electrolysynthesis to acetic acid,4.269336866685,0.0
0.899209803370281,Acetone,Benzene,Conventional acetone production,1.663741897780626,54.0474339541365
0.0,Acetone,Carbon dioxide,CO2 fermentation to acetone,1.663741897780626,0.0
0.0,Acrylic acid,Food waste,Food waste dehydration via lactic acid,0.959606521758,0.0
0.0,Acrylic acid,Herbaceous biomass,Biomass fermentation to acrylic acid,0.959606521758,0.0
0.0,Acrylonitrile,Food waste,Food waste to acrylonitrile via VFAs,1.30748135831,0.0
1.0388947548525,Adipic acid,Butadiene,Conventional butadiene conversion to adipic acid,1.2222586733245,84.99794499528839
0.183363918472,Adipic acid,Benzene,Conventional benzene conversion to adipic acid,1.2222586733245,15.00205500471162
0.0,Adipic acid,Polyethylene terephthalate,PET to adipic acid via TPA fermentation,1.2222586733245,0.0
0.0,Adipic acid,Herbaceous biomass,Biomass fermentation to adipic acid,1.2222586733245,0.0
0.0,Adipic acid,Polystyrene,PS to adipic acid via benzoic acid,1.2222586733245,0.0
0.0,Aniline,Herbaceous biomass,Biomass fermentation to aniline,0.3513080822,0.0
2.75640060269862,Benzene,Methane,CH4 to benzene via bromination,96.29881867746317,2.862341034453106
