Feedstock_flow,pathway,identifier,Chemical,Tier 1,Feedstock,Long name,High TRL,Price (billion USD / MMT),GHG emissions (MMT CO2e/MMT),Fossil fuel depletion (MMT oil eq/MMT),"Human toxicity (MMT 1,4-DCB eq/MMT)",Land use (km2*a crop eq/MMT),Water depletion (km3/MMT),Feedstock use (MMT/MMT),Electricity use (TWh/MMT),Hydrogen use (MMT/MMT),Co-product,Co-product 1 long name,Co-product 1 amount (MMT/MMT),Co-product 2 long name,Co-product 2 amount (MMT/MMT),Co-product 3 long name,Co-product 3 amount (MMT/MMT),Co-product 4 long name,Co-product 4 amount (MMT/MMT),Total product flow,mass fraction of main poduct,total feedstock inflow for 1 MMT product,MMT product per 1 MMT feedstock,product_flow,price_total,ghg_emissions,human_toxicity,electricity_use,hydrogen_use,fossil_fuel_depletion,land_use,water_depletion,product_name
0.764532094410345,Conventional benzene conversion to acetone,10,Acetone,False,Benzene,Conventional benzene conversion to acetone,True,0.28,1.599827779,0.790029058,0.367306954,7.6125,0.005520707,0.563,0.139,0.0,True,Conventional benzene conversion to phenol,1.626,0,0.0,0,0.0,0,0.0,2.626,0.38080731150038083,1.4784379999999997,0.676389540853252,0.5171215123057883,0.14479402344562073,0.8273053605052905,0.18994232753291262,0.07187989021050457,0.0,0.40854102123847735,3.9365875124278134,0.0028548763528371515,Acetone
0.0,Biomass to benzene via syngas and MTA,28,Benzene,True,Woody biomass,Biomass to benzene via syngas and MTA,True,0.93,-2.08,0.251,3.8073,4616.0,0.0086,5.6,0.152,0.0,True,Biomass to toluene via syngas and MTA,3.16,Biomass to xylenes via syngas and MTA,6.48,0,0.0,0,0.0,10.64,0.09398496240601503,59.583999999999996,0.016783029001074114,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benzene
2.10625258549887e-15,CO2 to benzene via thermochem and MTA,31,Benzene,True,Carbon dioxide,CO2 to benzene via thermochem and MTA,True,1.74,-2.403617078,0.156099672,2.759022918,291.0,0.077,3.47,0.896,0.496,True,CO2 to toluene via thermochem and MTA,3.16,CO2 to xylenes via thermochem and MTA,6.48,0,0.0,0,0.0,10.64,0.09398496240601503,36.92080000000001,0.02708500357522047,5.704785880855425e-17,9.926327432688439e-17,-1.3712120769557373e-16,1.5739634987562934e-16,5.111488149246461e-17,2.829573796904291e-17,8.905152048317629e-18,1.6600926913289287e-14,4.392685128258677e-18,Benzene
0.0,CO2 to ethylene via thermochem and methanol-to-olefins,53,Ethylene,True,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,True,0.51,-0.733967914,0.599461739,3.041703917,290.0,0.076453009,3.39,0.806,0.484,True,CO2 to propylene via thermochem and methanol-to-olefins,1.0,0,0.0,0,0.0,0,0.0,2.0,0.5,6.78,0.14749262536873156,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethylene
0.0,Biomass to ethylene via syngas and methanol-to-olefins,55,Ethylene,True,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,True,0.66,-0.447165409,0.692166997,4.063407964,4500.0,0.009443695,5.47,0.0,0.0,True,Biomass to propylene via syngas and methanol-to-olefins,1.0,0,0.0,0,0.0,0,0.0,2.0,0.5,10.94,0.09140767824497258,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethylene
0.764532094410345,Conventional benzene conversion to phenol,94,Phenol,False,Benzene,Conventional benzene conversion to phenol,True,0.378,1.600978038,0.790365303,0.365206478,7.471,0.00548747,0.563,0.139,0.0,True,Conventional benzene conversion to acetone,0.615,0,0.0,0,0.0,0,0.0,1.615,0.6191950464396285,0.9092449999999999,1.0998135815979193,0.8408427810000001,0.317838571218,1.3461708257918439,0.30708123060073533,0.11687714655900003,0.0,0.6645729593804277,6.281936416851001,0.004614099535454071,Phenol
0.0,Biomass to propylene via syngas and methanol-to-olefins,102,Propylene,True,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,True,0.89,-0.446717991,0.692166997,4.063407964,4500.0,0.009443695,5.47,0.0,0.0,True,Biomass to ethylene via syngas and methanol-to-olefins,1.0,0,0.0,0,0.0,0,0.0,2.0,0.5,10.94,0.09140767824497258,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Propylene
0.0,CO2 to propylene via thermochem and methanol-to-olefins,106,Propylene,True,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,True,1.57,-0.733520496,0.599461739,3.041703917,290.0,0.076453009,3.39,0.806,0.484,True,CO2 to ethylene via thermochem and methanol-to-olefins,1.0,0,0.0,0,0.0,0,0.0,2.0,0.5,6.78,0.14749262536873156,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Propylene
0.0,Biomass to toluene via syngas and MTA,119,Toluene,True,Woody biomass,Biomass to toluene via syngas and MTA,True,0.93,-2.08,0.251,3.8073,4616.0,0.0086,5.6,0.152,0.0,True,Biomass to benzene via syngas and MTA,0.316,Biomass to xylenes via syngas and MTA,2.05,0,0.0,0,0.0,3.3659999999999997,0.29708853238265004,18.8496,0.05305152363975894,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toluene
2.10625258549887e-15,CO2 to toluene via thermochem and MTA,122,Toluene,True,Carbon dioxide,CO2 to toluene via thermochem and MTA,True,1.74,-2.403617078,0.156099672,2.759022918,291.0,0.077,3.47,0.896,0.496,True,CO2 to benzene via thermochem and MTA,0.316,CO2 to xylenes via thermochem and MTA,2.05,0,0.0,0,0.0,3.3659999999999997,0.29708853238265004,11.68002,0.08561629175292508,1.8032953586542402e-16,3.137733924058378e-16,-4.3344315207394665e-16,4.975333222450078e-16,1.6157526413541993e-16,8.944344978925031e-17,2.814938140050492e-17,5.247589493683839e-14,1.388537426163765e-17,Toluene
0.0,Biomass to xylenes via syngas and MTA,129,Xylenes,True,Woody biomass,Biomass to xylenes via syngas and MTA,True,0.93,-2.08,0.251,3.8073,4616.0,0.0086,5.6,0.152,0.0,True,Biomass to benzene via syngas and MTA,0.154,Biomass to toluene via syngas and MTA,0.488,0,0.0,0,0.0,1.642,0.6090133982947625,9.195199999999998,0.10875239255263618,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Xylenes
0.0,CO2 to xylenes via thermochem and MTA,132,Xylenes,True,Carbon dioxide,CO2 to xylenes via thermochem and MTA,True,1.74,-2.403617078,0.156099672,2.759022918,291.0,0.077,3.47,0.896,0.496,True,CO2 to benzene via thermochem and MTA,0.154,CO2 to toluene via thermochem and MTA,0.488,0,0.0,0,0.0,1.642,0.6090133982947625,5.69774,0.17550818394661744,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Xylenes
0.17529561188,"Conventional 1,4-butanediol production",1,"1,4-Butanediol",False,Butadiene,"Conventional 1,4-butanediol production",True,1.21,3.84,1.8,2.99,91.0,0.204,0.71,0.418,0.041,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.71,1.4084507042253522,0.24689522800000002,0.29874322588,0.94807767552,0.7382167317200001,0.10320220530400001,0.010122704348000002,0.44441141040000004,22.467465748000002,0.050366626512,"1,4-Butanediol"
0.36029271201,Propylene conventional conversion to 2-ethylhexanol,3,2-Ethylhexanol,False,Propylene,Propylene conventional conversion to 2-ethylhexanol,True,0.4,1.285,0.431,0.243,3.86,5.83e-06,0.77,0.344,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.77,1.2987012987012987,0.46791261300000003,0.18716504520000002,0.601267707705,0.113702764959,0.160961938872,0.0,0.201670336203,1.80614268618,2.7279305337900004e-06,2-Ethylhexanol
1.17929145432,Conventional acetic acid production,5,Acetic acid,False,Methanol,Conventional acetic acid production,True,0.315,2.005,0.802,1.706,26.6,0.02,0.56,0.09,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.56,1.7857142857142856,2.1058775969999997,0.6633514430549999,4.222284581984999,3.5926271804819994,0.18952898372999996,0.0,1.6889138327939999,56.01634408019999,0.04211755193999999,Acetic acid
0.572748196672,Conventional methanol conversion via acetic acid to acetic anhydride,9,Acetic anhydride,False,Methanol,Conventional methanol conversion via acetic acid to acetic anhydride,True,0.235,1.312387493,0.391294056,0.327473003,8.42,0.002138419,0.688,0.521,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.688,1.4534883720930234,0.8324828440000002,0.19563346834000003,1.0925400726026702,0.2726156568706606,0.4337235617240001,0.0,0.32574558857917535,7.009505546480002,0.0017801971307836364,Acetic anhydride
0.899209803370045,Conventional acetone production,11,Acetone,False,Benzene,Conventional acetone production,True,0.28,1.599827779,0.790029058,0.367306954,7.6125,0.005520707,1.478,0.139,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.478,0.6765899864682002,0.6083963486942117,0.17035097763437929,0.9733293792831702,0.22346820966359277,0.08456709246849543,0.0,0.48065079424952756,4.631417204434686,0.003358777981010575,Acetone
0.826403399265,Propylene conventional conversion to acrylic acid,13,Acrylic acid,False,Propylene,Propylene conventional conversion to acrylic acid,True,0.3,0.765,0.228,0.33,16.3,0.0048,0.699,1.21,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.699,1.430615164520744,1.182265235,0.3546795705,0.904432904775,0.39014752755000004,1.43054093435,0.0,0.26955647358,19.2709233305,0.005674873128,Acrylic acid
0.0,Biomass fermentation to acrylic acid,15,Acrylic acid,False,Herbaceous biomass,Biomass fermentation to acrylic acid,True,2.17,1.154176302,0.830208,2.407925896,1600.0,0.066285071,8.917,-0.75,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,8.917,0.112145340361108,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,Acrylic acid
1.04020218914,Propylene conventional conversion to acrylonitril,16,Acrylonitrile,False,Propylene,Propylene conventional conversion to acrylonitril,True,0.714,2.522,0.684,6.09,-55.9,0.0433,1.03,3.5,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.03,0.970873786407767,1.0099050379999999,0.7210721971319999,2.5469805058359993,6.1503216814199995,3.5346676329999998,0.0,0.690775045992,-56.45369162419999,0.04372888814539999,Acrylonitrile
1.0388947548525,Conventional butadiene conversion to adipic acid,18,Adipic acid,False,Butadiene,Conventional butadiene conversion to adipic acid,True,1.13,0.712840541,0.313053354,-2.248914162,-175.77,-0.039161067,1.2075,0.515,0.004,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.2075,0.8281573498964803,0.860368327,0.9722162095099999,0.6133054236779449,-1.934894515126547,0.443089688405,0.003441473308,0.26934119044271876,-151.22694083679,-0.03369294169832491,Adipic acid
0.0,Conventional benzene conversion to adipic acid,19,Adipic acid,False,Benzene,Conventional benzene conversion to adipic acid,True,1.14,5.290501199,1.454657331,2.442610582,63.155,0.020837788,0.791,0.306,0.14,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.791,1.2642225031605563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adipic acid
0.21231214912,Conventional benzene conversion to aniline,23,Aniline,False,Benzene,Conventional benzene conversion to aniline,True,0.33,0.801734511,0.218156597,0.958280063,49.39,0.022671084,0.86,0.06,0.07,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.86,1.1627906976744187,0.246874592,0.08146861536000001,0.19792788029544453,0.2365749995748593,0.01481247552,0.01728122144,0.05385732087648343,12.19313609888,0.005596914612697728,Aniline
44.4828573308368,Conventional benzene production,27,Benzene,True,Fossil fuels,Conventional benzene production,True,0.77,1.907,1.498,0.569,9.79,0.0304,7.03,0.031,0.0,False,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,7.03,0.14224751066856328,6.327575722736386,4.872233306507018,12.066686903258288,3.6003905862370034,0.19615484740482797,0.0,9.478708432659106,61.94696632558921,0.19235830197118614,Benzene
