Chemical,Long name,product_flow_x,product_flow_y,percent,Feedstock
Acetone,Conventional benzene conversion to acetone,0.0,0.902148989899621,0.0,Conventional benzene conversion to acetone
Benzene,Biomass pyrolysis to benzene,0.0,8.59923396728265,0.0,Biomass pyrolysis to benzene
Benzene,Biomass to benzene via syngas and MTA,0.0,8.59923396728265,0.0,Biomass to benzene via syngas and MTA
Benzene,Plastic to benzene via syngas and MTA,1.4019698702241085e-16,8.59923396728265,1.6303427439678438e-15,Plastic to benzene via syngas and MTA
Benzene,CO2 to benzene via syngas and MTA,0.0,8.59923396728265,0.0,CO2 to benzene via syngas and MTA
Benzene,CO2 to benzene via thermochem and MTA,0.0,8.59923396728265,0.0,CO2 to benzene via thermochem and MTA
Benzene,CO2 to benzene via electrochem and MTA,0.0,8.59923396728265,0.0,CO2 to benzene via electrochem and MTA
Ethylene,Biomass pyrolysis to ethylene,0.0,55.90091489542503,0.0,Biomass pyrolysis to ethylene
Ethylene,CO2 to ethylene via thermochem and methanol-to-olefins,0.0,55.90091489542503,0.0,CO2 to ethylene via thermochem and methanol-to-olefins
Ethylene,Biomass to ethylene via syngas and methanol-to-olefins,12.04876436914927,55.90091489542503,21.553787432082526,Biomass to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via syngas and methanol-to-olefins,0.0,55.90091489542503,0.0,CO2 to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via electrochem and methanol-to-olefins,0.0,55.90091489542503,0.0,CO2 to ethylene via electrochem and methanol-to-olefins
Phenol,Conventional benzene conversion to phenol,0.0,0.892757404,0.0,Conventional benzene conversion to phenol
Propylene,Biomass to propylene via syngas and methanol-to-olefins,12.04876436914927,17.115693122776047,70.39600606717961,Biomass to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via syngas and methanol-to-olefins,0.0,17.115693122776047,0.0,CO2 to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via thermochem and methanol-to-olefins,0.0,17.115693122776047,0.0,CO2 to propylene via thermochem and methanol-to-olefins
Propylene,Biomass pyrolysis to propylene,0.0,17.115693122776047,0.0,Biomass pyrolysis to propylene
Propylene,CO2 to propylene via electrochem and methanol-to-olefins,0.0,17.115693122776047,0.0,CO2 to propylene via electrochem and methanol-to-olefins
Toluene,Biomass pyrolysis to toluene,0.0,7.236769638492011,0.0,Biomass pyrolysis to toluene
