Feedstock_flow_x,Chemical,Feedstock,Long name,Feedstock_flow_y,percent
-1.55886021274068e-16,Acetone,Benzene,Conventional benzene conversion to acetone,1.3333762070715398,-1.1691075665467026e-14
2.07486502855256e-14,Benzene,Woody biomass,Biomass pyrolysis to benzene,70.31698190280473,2.95073106439712e-14
0.0,Benzene,Woody biomass,Biomass to benzene via syngas and MTA,70.31698190280473,0.0
0.0,Benzene,Polyolefins,Plastic to benzene via syngas and MTA,70.31698190280473,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via syngas and MTA,70.31698190280473,0.0
53.5913347112397,Benzene,Carbon dioxide,CO2 to benzene via thermochem and MTA,70.31698190280473,76.21392906953265
0.0,Benzene,Carbon dioxide,CO2 to benzene via electrochem and MTA,70.31698190280473,0.0
2.07486502855256e-14,Ethylene,Woody biomass,Biomass pyrolysis to ethylene,296.833858094707,6.989987738833214e-15
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,296.833858094707,0.0
0.0,Ethylene,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,296.833858094707,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via syngas and methanol-to-olefins,296.833858094707,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via electrochem and methanol-to-olefins,296.833858094707,0.0
0.0,Phenol,Benzene,Conventional benzene conversion to phenol,0.811516480236,0.0
0.0,Propylene,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,158.284083099253,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via syngas and methanol-to-olefins,158.284083099253,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,158.284083099253,0.0
0.0,Propylene,Woody biomass,Biomass pyrolysis to propylene,158.284083099253,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via electrochem and methanol-to-olefins,158.284083099253,0.0
2.07486502855256e-14,Toluene,Woody biomass,Biomass pyrolysis to toluene,58.72938259466586,3.532924980452649e-14
0.0,Toluene,Woody biomass,Biomass to toluene via syngas and MTA,58.72938259466586,0.0
0.0,Toluene,Polyolefins,Plastic to toluene via syngas and MTA,58.72938259466586,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via syngas and MTA,58.72938259466586,0.0
53.5913347112397,Toluene,Carbon dioxide,CO2 to toluene via thermochem and MTA,58.72938259466586,91.25131636597041
0.0,Toluene,Carbon dioxide,CO2 to toluene via electrochem and MTA,58.72938259466586,0.0
2.07486502855256e-14,Xylenes,Woody biomass,Biomass pyrolysis to xylenes,53.591334711239725,3.871642756673866e-14
0.0,Xylenes,Woody biomass,Biomass to xylenes via syngas and MTA,53.591334711239725,0.0
0.0,Xylenes,Polyolefins,Plastic to xylenes via syngas and MTA,53.591334711239725,0.0
