Feedstock,Feedstock_flow
Benzene,7.4961070651535175
Butadiene,1.4561017551525
Butylene,0.560317511413
Carbon dioxide,2.64498954153
Ethanol,0.0
Ethylene,18.713132325425
Food waste,28.3608151509168
Fossil fuels,121.24224557571978
Herbaceous biomass,174.499406882908
Lactic acid,0.0
Methane,18.3360349076032
Methanol,9.904297532659982
Polyethylene terephthalate,0.0
Polyolefins,0.0
Polystyrene,0.0
Propylene,5.065125194643985
Toluene,0.185129744492
Woody biomass,47.44632455994691
Xylenes,5.741034968445
