Feedstock,Availability 2030 (MMT),Availability 2050 (MMT)
Carbon dioxide,1606.1,636.4
Methane,20.1,24.6
Herbaceous biomass,396.439845,475.36494
Woody biomass,100.707733,146.804268
Food waste,64.8,124.9
Polyethylene terephthalate,10.6,14.3
Polyolefins,32,43.1
Polystyrene,3.3,4.5
Fossil fuels,10000,10000
