identifier,Chemical,Tier 1,Feedstock,Long name,High TRL,Price (billion USD / MMT),GHG emissions (MMT CO2e/MMT),Fossil fuel depletion (MMT oil eq/MMT),"Human toxicity (MMT 1,4-DCB eq/MMT)",Land use (km2*a crop eq/MMT),Water depletion (km3/MMT),Feedstock use (MMT/MMT),Electricity use (TWh/MMT),Hydrogen use (MMT/MMT),Co-product,Co-product 1 long name,Co-product 1 amount (MMT/MMT),Co-product 2 long name,Co-product 2 amount (MMT/MMT),Co-product 3 long name,Co-product 3 amount (MMT/MMT),Co-product 4 long name,Co-product 4 amount (MMT/MMT)
0,"1,4-Butanediol",FALSE,Ethanol,"Ethanol fermentation to 1,4-BDO",FALSE,0.829,1.484839476,1.385075059,2.012409868,168.3,0.041957066,0.767,0.256,0,FALSE,,,,,,,,
1,"1,4-Butanediol",FALSE,Butadiene,"Conventional 1,4-butanediol production",TRUE,1.21,3.84,1.8,2.99,91,0.204,0.71,0.418,0.041,FALSE,,,,,,,,
2,"1,4-Butanediol",FALSE,Herbaceous biomass,"Biomass fermentation to 1,4-BDO",FALSE,1.89,0.048428322,0.446818935,1.137748601,930.9,0.031340134,5.23,-0.414,0,FALSE,,,,,,,,
3,2-Ethylhexanol,FALSE,Propylene,Propylene conventional conversion to 2-ethylhexanol,TRUE,0.4,1.285,0.431,0.243,3.86,5.83E-06,0.77,0.344,0,FALSE,,,,,,,,
4,2-Ethylhexanol,FALSE,Woody biomass,Biomass gasification to 2-ethylhexanol via syngas,FALSE,2,-0.485149149,0.762492068,1.431039924,3530,0.017584886,8.03,8,0,FALSE,,,,,,,,
5,Acetic acid,FALSE,Methanol,Conventional acetic acid production,TRUE,0.315,2.005,0.802,1.706,26.6,0.02,0.56,0.09,0,FALSE,,,,,,,,
6,Acetic acid,FALSE,Woody biomass,Biomass to acetic acid via syngas fermentation,FALSE,0.37,-0.3186,0.123998012,0.634289269,1793,0.004028672,2.085,0.207,0,FALSE,,,,,,,,
7,Acetic acid,FALSE,Carbon dioxide,CO2 fermentation to acetic acid,FALSE,0.97,-0.9066,0.139134739,1.478793029,460,0.02531406,1.47,0.2047,0.1333,FALSE,,,,,,,,
8,Acetic acid,FALSE,Carbon dioxide,CO2 electrolysynthesis to acetic acid,FALSE,5.42,-1.0196,0.122637143,0.971014936,98.7,0.026380295,1.47,9.04,-0.00135,FALSE,,,,,,,,
9,Acetic anhydride,FALSE,Methanol,Conventional methanol conversion via acetic acid to acetic anhydride,TRUE,0.235,1.312387493,0.391294056,0.327473003,8.42,0.002138419,0.688,0.521,0,FALSE,,,,,,,,
