identifier,Chemical,Tier 1,Feedstock,Long name,High TRL,Price (billion USD / MMT),GHG emissions (MMT CO2e/MMT),Fossil fuel depletion (MMT oil eq/MMT),"Human toxicity (MMT 1,4-DCB eq/MMT)",Land use (km2*a crop eq/MMT),Water depletion (km3/MMT),Feedstock use (MMT/MMT),Electricity use (TWh/MMT),Hydrogen use (MMT/MMT),Co-product,Co-product 1 long name,Co-product 1 amount (MMT/MMT),Co-product 2 long name,Co-product 2 amount (MMT/MMT),Co-product 3 long name,Co-product 3 amount (MMT/MMT),Co-product 4 long name,Co-product 4 amount (MMT/MMT)
10,Acetone,FALSE,Benzene,Conventional benzene conversion to acetone,TRUE,0.28,1.599827779,0.790029058,0.367306954,7.6125,0.005520707,0.563,0.139,0,TRUE,Conventional benzene conversion to phenol,1.626,,,,,,
11,Acetone,FALSE,Benzene,Conventional acetone production,TRUE,0.28,1.599827779,0.790029058,0.367306954,7.6125,0.005520707,1.478,0.139,0,FALSE,,,,,,,,
12,Acetone,FALSE,Carbon dioxide,CO2 fermentation to acetone,FALSE,0.92,-2.193961197,0.023185632,0.15134228,15.28,0.004084728,2.84,1.39,0,FALSE,,,,,,,,
13,Acrylic acid,FALSE,Propylene,Propylene conventional conversion to acrylic acid,TRUE,0.3,0.765,0.228,0.33,16.3,0.0048,0.699,1.21,0,FALSE,,,,,,,,
14,Acrylic acid,FALSE,Food waste,Food waste dehydration via lactic acid,FALSE,1.77,-0.63100538,0.535656839,1.209348758,50,0.022351921,8.3,0.307,0,FALSE,,,,,,,,
15,Acrylic acid,FALSE,Herbaceous biomass,Biomass fermentation to acrylic acid,TRUE,2.17,1.154176302,0.830208,2.407925896,1600,0.066285071,8.917,-0.75,0,FALSE,,,,,,,,
16,Acrylonitrile,FALSE,Propylene,Propylene conventional conversion to acrylonitril,TRUE,0.714,2.522,0.684,6.09,-55.9,0.0433,1.03,3.5,0,FALSE,,,,,,,,
17,Acrylonitrile,FALSE,Food waste,Food waste to acrylonitrile via VFAs,FALSE,3.09,-0.215,0.628,1.38,46.1,0.0358542,19.92,0.05,-0.04,FALSE,,,,,,,,
18,Adipic acid,FALSE,Butadiene,Conventional butadiene conversion to adipic acid,TRUE,1.13,0.712840541,0.313053354,-2.248914162,-175.77,-0.039161067,1.2075,0.515,0.004,FALSE,,,,,,,,
19,Adipic acid,FALSE,Benzene,Conventional benzene conversion to adipic acid,TRUE,1.14,5.290501199,1.454657331,2.442610582,63.155,0.020837788,0.791,0.306,0.14,FALSE,,,,,,,,
20,Adipic acid,FALSE,Polyethylene terephthalate,PET to adipic acid via TPA fermentation,FALSE,1.52,1.537782762,0.533987528,4.230139506,84.78,0.012344529,1.73,2.314,0,FALSE,,,,,,,,
21,Adipic acid,FALSE,Herbaceous biomass,Biomass fermentation to adipic acid,FALSE,3.11,2.71803269,0.871914136,6.446824679,1505,0.091428348,8.012,-0.079,0.031,FALSE,,,,,,,,
22,Adipic acid,FALSE,Polystyrene,PS to adipic acid via benzoic acid,FALSE,3.92,3.186101513,0.75263152,21.67411198,275.5,0.758909049,1.056,1.782,0,FALSE,,,,,,,,
23,Aniline,FALSE,Benzene,Conventional benzene conversion to aniline,TRUE,0.33,0.801734511,0.218156597,0.958280063,49.39,0.022671084,0.86,0.06,0.07,FALSE,,,,,,,,
24,Aniline,FALSE,Herbaceous biomass,Biomass fermentation to aniline,FALSE,1.05,-0.731120028,0.51906301,1.563883763,433.89,0.038279146,2.31,0.579,0,FALSE,,,,,,,,
25,Benzene,TRUE,Methane,CH4 to benzene via bromination,FALSE,0.256,-34.39593125,-1.046469487,-2.633727591,-214.5,-0.056,2.34,1.26,-0.38,FALSE,,,,,,,,
26,Benzene,TRUE,Woody biomass,Biomass pyrolysis to benzene,FALSE,0.391,-2.384617078,0.33142,0.32519,2328.6,0.0052699,2.91,0.362,0,TRUE,Biomass pyrolysis to toluene,2.32,Biomass pyrolysis to xylenes,2.24,Biomass pyrolysis to ethylene,2.05,Biomass pyrolysis to propylene,2.7
27,Benzene,TRUE,Fossil fuels,Conventional benzene production,TRUE,0.77,1.907,1.498,0.569,9.79,0.0304,7.03,0.031,0,FALSE,,,,,,,,
28,Benzene,TRUE,Woody biomass,Biomass to benzene via syngas and MTA,TRUE,0.93,-2.08,0.251,3.8073,4616,0.0086,5.6,0.152,0,TRUE,Biomass to toluene via syngas and MTA,3.16,Biomass to xylenes via syngas and MTA,6.48,,,,
29,Benzene,TRUE,Polyolefins,Plastic to benzene via syngas and MTA,FALSE,1.35,0.083,-0.735852494,1.347541336,5.8,0.004,1.86,1.293,0,TRUE,Plastic to toluene via syngas and MTA,3.16,Plastic to xylenes via syngas and MTA,6.48,,,,
30,Benzene,TRUE,Carbon dioxide,CO2 to benzene via syngas and MTA,FALSE,1.53,-2.06,0.2778,3.12,338.8,0.09097,3.72,14.04,0.3472,TRUE,CO2 to toluene via syngas and MTA,3.16,CO2 to xylenes via syngas and MTA,6.48,,,,
31,Benzene,TRUE,Carbon dioxide,CO2 to benzene via thermochem and MTA,TRUE,1.74,-2.403617078,0.156099672,2.759022918,291,0.077,3.47,0.896,0.496,TRUE,CO2 to toluene via thermochem and MTA,3.16,CO2 to xylenes via thermochem and MTA,6.48,,,,
32,Benzene,TRUE,Carbon dioxide,CO2 to benzene via electrochem and MTA,FALSE,2.81,-2.15,0.232,2.87,326.2,0.086482,3.45,31.65,0,TRUE,CO2 to toluene via electrochem and MTA,3.16,CO2 to xylenes via electrochem and MTA,6.48,,,,
33,Bisphenol-A,FALSE,Benzene,Conventional benzene conversion to BPA,TRUE,0.29,1.457446383,0.542592812,0.806515542,1072.3,0.012168177,0.723,0.183,0,FALSE,,,,,,,,
34,Butadiene,TRUE,Fossil fuels,Conventional butadiene production,TRUE,0.96,1.232,1.422,0.052,0.53,0.0069,2.34,0.12,0,FALSE,,,,,,,,
35,Butadiene,TRUE,Carbon dioxide,CO2 to butadiene via ethanol,TRUE,1.47,-0.294479439,0.89,5.769,338.3,0.089,4.06,33.56,0,FALSE,,,,,,,,
36,Butanol,FALSE,Propylene,Propylene conventional conversion to butanol,TRUE,0.44,0.965848549,0.262152787,0.72711068,1410,0.006568842,0.699,0.256,0.02,FALSE,,,,,,,,
37,Butanol,FALSE,Herbaceous biomass,Biomass fermentation to butanol,FALSE,1.31,0.72,0.8889,1.27,671.8,0.02695,5.55,2.314,0,FALSE,,,,,,,,
38,Butylene,TRUE,Fossil fuels,Conventional butylene production,TRUE,0.68,1.697,1.408,0.092,148,0.0159,0.82,0.062,0,FALSE,,,,,,,,
39,Butylene,TRUE,Woody biomass,Biomass to butylene via DME,FALSE,0.94,-2.5,0.2,0.394,2345.9,0.007,2.84,1.14,0,FALSE,,,,,,,,
40,Butylene,TRUE,Carbon dioxide,CO2 to butylene via ethanol,FALSE,2.17,-0.64,0.68,4.407,263.8,0.069,3.04,55.45,0,FALSE,,,,,,,,
41,Butylene,TRUE,Herbaceous biomass,Biomass to butylene via ethanol,FALSE,2.96,0.78,0.87,8,1601,0.069,9.223,-0.253,0,FALSE,,,,,,,,
42,Caprolactam,FALSE,Benzene,Conventional benzene conversion to caprolactam,TRUE,1.14,4.77984642,1.355575828,9.752883042,134.3,0.165682396,0.95,1.026,0.08,FALSE,,,,,,,,
43,Caprolactam,FALSE,Herbaceous biomass,Biomass fermentation to caprolactam,FALSE,1.83,3.810931372,1.418576304,8.745365338,2093,0.193030866,9.74,-0.025,0.038,FALSE,,,,,,,,
44,Chloroform,FALSE,Methanol,Conventional chloroform production,TRUE,0.65,1.868,0.484,2.36,36.5,0.038,0.3,0.036,0,FALSE,,,,,,,,
45,Chloroform,FALSE,Methane,CH4 chlorination to chloroform,TRUE,0.96,0.054,0.921,5.796,81.8,0.08227,0.289,0.157,0,FALSE,,,,,,,,
46,Cyclohexanol-cyclohexanone,FALSE,Benzene,Conventional benzene conversion to KA oil,TRUE,0.56,3.222182231,1.186354288,1.363753969,54.87,0.02253412,1.1,0.2,0.06,FALSE,,,,,,,,
47,Cyclohexanol-cyclohexanone,FALSE,Woody biomass,Biomass to KA oil via RCF phenol,FALSE,1.64,1.418618695,1.121213731,4.531911237,122.34,0.034423664,3.72,0.3165,0.195,FALSE,,,,,,,,
48,Epichlorohydrin,FALSE,Propylene,Conventional epichlorohydrin production,TRUE,0.986,2.88,0.6,3.06,62,0.038,0.446,0.79,0,FALSE,,,,,,,,
49,Ethanol,TRUE,Herbaceous biomass,Conventional ethanol production,TRUE,0.78,1.885602842,0.7894,2.112,1163,0.27611,3.15,0.415,0,FALSE,,,,,,,,
50,Ethanol,TRUE,Carbon dioxide,CO2 fermentation to ethanol,TRUE,0.87,-0.598,0.339,2.759,167,0.0438,1.986,15.823,0,FALSE,,,,,,,,
51,Ethanol,TRUE,Herbaceous biomass,Biomass fermentation to ethanol,TRUE,1.13,0.417,0.463,5.11,1041,0.0433,6.03,-0.642,0,FALSE,,,,,,,,
52,Ethylene,TRUE,Woody biomass,Biomass pyrolysis to ethylene,FALSE,0.34,-2.14,0.33,0.326,2335,0.005,2.83,0.353,0,TRUE,Biomass pyrolysis to propylene,1,Biomass pyrolysis to benzene,0.49,Biomass pyrolysis to toluene,1.13,Biomass pyrolysis to xylenes,1.09
53,Ethylene,TRUE,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,TRUE,0.51,-0.733967914,0.599461739,3.041703917,290,0.076453009,3.39,0.806,0.484,TRUE,CO2 to propylene via thermochem and methanol-to-olefins,1,,,,,,
54,Ethylene,TRUE,Fossil fuels,Conventional ethylene production,TRUE,0.63,1.52,1.43,0.078,0.1,0.011,0.829,0.079,0,FALSE,,,,,,,,
55,Ethylene,TRUE,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,TRUE,0.66,-0.447165409,0.692166997,4.063407964,4500,0.009443695,5.47,0,0,TRUE,Biomass to propylene via syngas and methanol-to-olefins,1,,,,,,
56,Ethylene,TRUE,Carbon dioxide,CO2 to ethylene via syngas and methanol-to-olefins,FALSE,1.03,-0.429278796,0.71807281,3.394711048,340,0.089714611,3.63,13.63,0.333,TRUE,CO2 to propylene via syngas and methanol-to-olefins,1,,,,,,
57,Ethylene,TRUE,Carbon dioxide,CO2 fermentation to ethylene via ethanol,FALSE,1.6,-0.946967914,0.668149713,4.778931302,288.76,0.076308804,3.4,27.3,0,FALSE,,,,,,,,
58,Ethylene,TRUE,Carbon dioxide,CO2 to ethylene via electrochem and methanol-to-olefins,FALSE,1.68,-0.512679507,0.673634288,3.150070113,320,0.085343987,4.6,42.1,0,TRUE,CO2 to propylene via electrochem and methanol-to-olefins,1,,,,,,
59,Ethylene,TRUE,Herbaceous biomass,Biomass fermentation to ethylene via ethanol,TRUE,2.04,-1.414967914,0.303264387,2.922519216,1912.55,0.246903698,10.32,0.23,0,FALSE,,,,,,,,
60,Ethylene,TRUE,Carbon dioxide,CO2 electrolysis to ethylene,FALSE,3.53,-1.502967914,0.440505582,3.424363252,385.5,0.101864699,5.31,62.9,0,FALSE,,,,,,,,
61,Ethylene glycol,FALSE,Ethylene,Conventional ethylene conversion to ethylene glycol,TRUE,0.548,0.859169477,0.240551387,0.506231484,14.895,0.016934205,0.59,0.628,0,FALSE,,,,,,,,
62,Ethylene oxide,FALSE,Ethylene,Ethylene conventional conversion to ethylene oxide,TRUE,0.202,0.880593061,0.218795848,0.64342842,14.74,0.021560611,0.8,0.3,0,FALSE,,,,,,,,
63,Formaldehyde,FALSE,Methanol,Conventional methanol conversion to formaldehyde,TRUE,0.146,0.015973008,0.004682545,0.024215235,1.698,0.000480385,1.215,0.142,0,FALSE,,,,,,,,
64,Formaldehyde,FALSE,Woody biomass,Biomass to formaldehyde via syngas,FALSE,0.63,-0.58080286,0.26807483,1.381143074,2984.37,0.021361753,3.55,6.174,0,FALSE,,,,,,,,
65,Formaldehyde,FALSE,Carbon dioxide,CO2 conversion to formaldehyde via formic acid,FALSE,3.83,0.194619644,0.550251075,1.688780273,170,0.046245107,2.03,9.02,0.1,FALSE,,,,,,,,
66,Glycerol,TRUE,Fossil fuels,Conventional glycerol production,TRUE,0.73,3.478,0.426,2.798,3732,0.2064,1.706,0.012,0,FALSE,,,,,,,,
67,Hexamethylenediamine,FALSE,Butadiene,Conventional hexamethylenediamine production,TRUE,1.84,4.17,1.43,4.13,43,0.032,0.55,0.46,0.07,FALSE,,,,,,,,
68,Hexamethylenediamine,FALSE,Herbaceous biomass,Biomass fermentation to hexamethylenediamine,FALSE,2.7,1.208,0.866,2.5795,1207,0.0733,4.602,0.555,0,FALSE,,,,,,,,
69,Isophthalic acid,FALSE,Xylenes,Conventional xylenes conversion to isophthalic acid,TRUE,0.77,1.3968,0.4478,0.517,14.6,0.0087,0.685,0.503,0,FALSE,,,,,,,,
70,Isopropanol,FALSE,Propylene,Conventional propylene conversion to isopropanol,TRUE,0.132,0.886046231,0.234347003,0.257228949,4.31,0.000744188,0.74,0.121,0,FALSE,,,,,,,,
71,Isopropanol,FALSE,Herbaceous biomass,Biomass fermentation to isopropanol,FALSE,0.34,0.4867,0.5312,2.06,2685.9,0.06697,4.994,-1.71,0,FALSE,,,,,,,,
72,Isopropanol,FALSE,Carbon dioxide,CO2 fermentation to isopropanol,FALSE,1.95,0.11425,0.643,3.477,494.9,0.1044,3.63,14.94,0,FALSE,,,,,,,,
73,Lactic acid,TRUE,Food waste,Food waste to lactic acid by AAD,FALSE,0.76,-1.251,0.0654,0.2597,20.2,0.0055,6.061,0.023,0,FALSE,,,,,,,,
74,Lactic acid,TRUE,Herbaceous biomass,Conventional lactic acid production,TRUE,2.16,2.92,1.727,3.609,57,0.0572,1.15,0.177,0,FALSE,,,,,,,,
75,Lysine,TRUE,Fossil fuels,Conventional lysine production,TRUE,1.27,4.736720501,1.9256,6.5215,1078,0.29961,2.19,1.89,0,FALSE,,,,,,,,
76,Lysine,TRUE,Carbon dioxide,CO2 fermentation to lysine,FALSE,1.61,1.010385649,0.825704183,1.534301645,42.5,0.0405,3.23,1.8,0,FALSE,,,,,,,,
77,Maleic anhydride,FALSE,Propylene,Conventional propylene via butanol to maleic anhydride,TRUE,0.37,-2.444234395,-0.680489932,-0.573319,-5.5529,-0.001561929,1.358,0.5,0,FALSE,,,,,,,,
78,Maleic anhydride,FALSE,Butylene,Conventional butylene conversion to maleic anhydride,TRUE,0.526,-3.808469029,-1.142282309,-0.113867202,-304,-0.014595435,0.955,0.04,0,FALSE,,,,,,,,
79,Maleic anhydride,FALSE,Herbaceous biomass,Biomass fermentation to maleic anhydride,FALSE,1.03,-1.352,0.0513,2.785,649.4,0.16983,3.19,11.81,0,FALSE,,,,,,,,
80,Methanol,TRUE,Fossil fuels,Conventional methanol production,TRUE,0.33,0.815,0.751,0.26,5,0.005,0.62,0.008,0,FALSE,,,,,,,,
81,Methanol,TRUE,Woody biomass,Biomass to methanol via syngas,TRUE,0.38,-0.772595506,0.176980244,1.551319052,1861,0.003396847,2.26,0,0,FALSE,,,,,,,,
82,Methanol,TRUE,Polyolefins,Plastic to methanol via syngas,FALSE,0.56,0.121,-0.221110018,0.559286278,2.14,0.001599354,0.754,0.462,0,FALSE,,,,,,,,
83,Methanol,TRUE,Carbon dioxide,CO2 to methanol via syngas,FALSE,0.64,-0.765595506,0.187699891,1.274616878,136,0.036612399,1.5,5.5986,0.1375,FALSE,,,,,,,,
84,Methanol,TRUE,Carbon dioxide,CO2 to methanol via thermochemistry,TRUE,0.73,-0.891595506,0.138619448,1.128544961,117,0.031124839,1.4,0.3,0.2,FALSE,,,,,,,,
85,Methanol,TRUE,Carbon dioxide,CO2 to methanol via electrochemistry,FALSE,1.03,-0.800595506,0.169311537,1.173386146,131,0.034803865,1.39,12.7,0,FALSE,,,,,,,,
86,Methionine,FALSE,Propylene,Propylene conventional conversion to methionine,TRUE,1.76,2.06,0.931,0.865,23.2,0.019592,0.43,1.03,0,FALSE,,,,,,,,
87,Methyl chloride,FALSE,Methanol,Conventional methanol conversion to methyl chloride,TRUE,0.312,1.593026656,0.449682876,1.511492213,57.97,0.031206876,0.635,0.077,0,FALSE,,,,,,,,
88,Methyl chloride,FALSE,Methane,CH4 chlorination to methylamine,TRUE,10.62,-4.385356513,1.075972962,5.415335312,85.58,0.084033363,0.19,0.348,0,FALSE,,,,,,,,
89,Methyl tert-butyl ether,FALSE,Butylene,Conventional butylene conversion to MTBE,TRUE,0.256,0.422950439,0.120806424,0.473989905,43.72,0.01156601,0.667,0.00999,0,FALSE,,,,,,,,
90,Methylamine,FALSE,Methanol,Conventional methylamine produciton,TRUE,0.787,2.71,0.64,1.74,38,0.045,1.35,0.02,0,FALSE,,,,,,,,
91,Methylamine,FALSE,Methane,CH4 photocatalysis to methylamine,FALSE,1.32,-11.25775373,0.870759613,1.188591427,61.32,0.057791581,0.679,7.12,-0.257,FALSE,,,,,,,,
92,Methylene diphenyl diisocyanate,FALSE,Benzene,Conventional benzene conversion to MDI,TRUE,1.23,1.286546289,0.53282473,1.147349602,42.23,0.022581527,0.446,0.344,0.037,FALSE,,,,,,,,
93,Methylene diphenyl diisocyanate,FALSE,Carbon dioxide,CO2 fermentation to MDI via syngas,FALSE,1.95,3.189,1.15,4.794,338.3,0.10766,0.539,0.59,0,FALSE,,,,,,,,
94,Phenol,FALSE,Benzene,Conventional benzene conversion to phenol,TRUE,0.378,1.600978038,0.790365303,0.365206478,7.471,0.00548747,0.563,0.139,0,TRUE,Conventional benzene conversion to acetone,0.615,,,,,,
95,Phenol,FALSE,Benzene,Conventional phenol production,TRUE,0.378,1.600978038,0.790365303,0.365206478,7.471,0.00548747,0.909,0.139,0,FALSE,,,,,,,,
96,Phenol,FALSE,Woody biomass,Biomass to phenol via RCF oil,FALSE,1.15,-0.503992577,0.608283863,3.940181539,91.875,0.026853228,3.92,0.27,0.16,FALSE,,,,,,,,
97,Phosgene,TRUE,Woody biomass,Biomass to phosgene via syngas,TRUE,0.63,0.536095026,0.25665353,1.675,1218,0.012549528,1.4985,0.285,0,FALSE,,,,,,,,
98,Phosgene,TRUE,Carbon dioxide,CO2 to phosgene via syngas,FALSE,1.39,0.670095026,0.290091985,1.675,85.3,0.036955297,1.09,4.276,0.043,FALSE,,,,,,,,
99,Phosgene,TRUE,Fossil fuels,Conventional phosgene production,TRUE,2.2,2.375,0.765,2.476,41,0.0415,0.278,0.08,0,FALSE,,,,,,,,
100,Phthalic anhydride,FALSE,Xylenes,Conventional xylenes conversion to phthalic anhydride,TRUE,0.493,-1.651122617,-0.462053671,-0.395874282,-4.574,-0.000693393,0.925,0.236,0,FALSE,,,,,,,,
101,Propylene,TRUE,Fossil fuels,Conventional propylene production,TRUE,0.85,1.49,1.457,0.082,0.08,0.0105,1.325,0.041,0,FALSE,,,,,,,,
102,Propylene,TRUE,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,TRUE,0.89,-0.446717991,0.692166997,4.063407964,4500,0.009443695,5.47,0,0,TRUE,Biomass to ethylene via syngas and methanol-to-olefins,1,,,,,,
103,Propylene,TRUE,Carbon dioxide,CO2 to propylene via syngas and methanol-to-olefins,FALSE,1.39,-0.428831378,0.71807281,3.394711048,340,0.089714611,3.63,13.63,0.333,TRUE,CO2 to ethylene via syngas and methanol-to-olefins,1,,,,,,
104,Propylene,TRUE,Carbon dioxide,CO2 fermentation to propylene via ethanol,FALSE,1.47,-0.942520496,0.58267,5.15528,315.86,0.083021,3.65,29.86,0,FALSE,,,,,,,,
105,Propylene,TRUE,Herbaceous biomass,Biomass fermentation to propylene via ethanol,TRUE,1.47,-1.446520496,0.19054,3.160211,2059.9,0.26635,11.1,0.752,0,FALSE,,,,,,,,
106,Propylene,TRUE,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,TRUE,1.57,-0.733520496,0.599461739,3.041703917,290,0.076453009,3.39,0.806,0.484,TRUE,CO2 to ethylene via thermochem and methanol-to-olefins,1,,,,,,
107,Propylene,TRUE,Woody biomass,Biomass pyrolysis to propylene,FALSE,2,-2.151520496,0.32797,0.321813,2304.5,0.0052151,2.8,0.35,0,TRUE,Biomass pyrolysis to ethylene,0.76,Biomass pyrolysis to benzene,0.37,Biomass pyrolysis to toluene,0.86,Biomass pyrolysis to xylenes,0.83
108,Propylene,TRUE,Carbon dioxide,CO2 to propylene via electrochem and methanol-to-olefins,FALSE,2.27,-0.512232089,0.673634288,3.150070113,320,0.085343987,4.6,42.1,0,TRUE,CO2 to ethylene via electrochem and methanol-to-olefins,1,,,,,,
109,Propylene glycol,FALSE,Propylene,Conventional propylene conversion to propylene glycol,TRUE,0.776,2.661583686,0.882511195,-0.121426313,1302,0.059665089,0.687,0.981,0,FALSE,,,,,,,,
110,Propylene glycol,FALSE,Lactic acid,Lactic acid fermentation to propylene glycol,FALSE,4.26,-0.875095595,0.272747402,2.395482448,147.6,0.033247134,1.15,1.08,0,FALSE,,,,,,,,
111,Propylene oxide,FALSE,Propylene,Conventional propylene conversion to propylene oxide,TRUE,1.02,3.871633467,1.138511636,2.689420529,-60.2,0.075993907,0.76,0.95,0,FALSE,,,,,,,,
112,Sorbitol,TRUE,Herbaceous biomass,Conventional sorbitol production,TRUE,1.05,1.291474831,0.77336,3.1957,369,0.16589,1.33,0.74,0,FALSE,,,,,,,,
113,Sorbitol,TRUE,Herbaceous biomass,Biomass fermentation to sorbitol,TRUE,1.31,0.339,0.44,1.178,625.5,0.0241,3.477,0.121,0.012,FALSE,,,,,,,,
114,Styrene,FALSE,Benzene,Benzene conventional conversion to styrene,TRUE,0.186,1.009273656,0.626572366,0.082752619,2.545,0.004244234,0.781,0.166,0,FALSE,,,,,,,,
115,Terephthalic acid,FALSE,Xylenes,Conventional xylenes conversion to terephthalic acid,TRUE,0.475,1.252771928,0.58595688,0.135107884,10.1,0.011003203,0.653,0.404,0,FALSE,,,,,,,,
116,Tetrahydrofuran,FALSE,Butadiene,Conventional butadiene conversion to THF,TRUE,0.693,2.282361131,0.623047472,-3.622892514,-252.6,-0.06557762,0.905,0.536,0.052,FALSE,,,,,,,,
117,Toluene,TRUE,Woody biomass,Biomass pyrolysis to toluene,FALSE,0.391,-2.384617078,0.33142,0.32519,2328.6,0.0052699,2.88,0.358,0,TRUE,Biomass pyrolysis to benzene,0.43,Biomass pyrolysis to xylenes,0.965,Biomass pyrolysis to ethylene,0.88,Biomass pyrolysis to propylene,1.16
118,Toluene,TRUE,Fossil fuels,Conventional toluene production,TRUE,0.7,1.691,1.371,0.112,2,0.0353,1.94,0.008,0,FALSE,,,,,,,,
119,Toluene,TRUE,Woody biomass,Biomass to toluene via syngas and MTA,TRUE,0.93,-2.08,0.251,3.8073,4616,0.0086,5.6,0.152,0,TRUE,Biomass to benzene via syngas and MTA,0.316,Biomass to xylenes via syngas and MTA,2.05,,,,
120,Toluene,TRUE,Polyolefins,Plastic to toluene via syngas and MTA,FALSE,1.35,0.083,-0.735852494,1.347541336,5.8,0.004,1.86,1.293,0,TRUE,Plastic to benzene via syngas and MTA,0.316,Plastic to xylenes via syngas and MTA,2.05,,,,
121,Toluene,TRUE,Carbon dioxide,CO2 to toluene via syngas and MTA,FALSE,1.53,-2.06,0.2778,3.12,338.8,0.09097,3.72,14.04,0.3472,TRUE,CO2 to benzene via syngas and MTA,0.316,CO2 to xylenes via syngas and MTA,2.05,,,,
122,Toluene,TRUE,Carbon dioxide,CO2 to toluene via thermochem and MTA,TRUE,1.74,-2.403617078,0.156099672,2.759022918,291,0.077,3.47,0.896,0.496,TRUE,CO2 to benzene via thermochem and MTA,0.316,CO2 to xylenes via thermochem and MTA,2.05,,,,
123,Toluene,TRUE,Carbon dioxide,CO2 to toluene via electrochem and MTA,FALSE,2.81,-2.15,0.232,2.87,326.2,0.086482,3.45,31.65,0,TRUE,CO2 to benzene via electrochem and MTA,0.316,CO2 to xylenes via electrochem and MTA,2.05,,,,
124,Toluene diisocyanate,FALSE,Toluene,Conventional toluene conversion to TDI,TRUE,1.35,2.47405268,0.648925497,1.680723018,32.7888,0.028890296,0.308,0.321,0,FALSE,,,,,,,,
125,Vinyl acetate,FALSE,Ethylene,Conventional ethylene conversion to vinyl acetate,TRUE,0.549,1.41191704,0.39464149,3.307335202,80.2,0.02685487,0.353,0.088,0,FALSE,,,,,,,,
126,Vinyl chloride,FALSE,Ethylene,Conventional ethylene conversion to vinyl chloride,TRUE,0.232,1.032178005,0.27734702,0.953841048,19.37,0.021015878,0.49,0.314,0.0015,FALSE,,,,,,,,
127,Xylenes,TRUE,Woody biomass,Biomass pyrolysis to xylenes,FALSE,0.391,-2.384617078,0.33142,0.32519,2328.6,0.0052699,2.85,0.355,0,TRUE,Biomass pyrolysis to benzene,0.446,Biomass pyrolysis to toluene,1.04,Biomass pyrolysis to ethylene,0.916,Biomass pyrolysis to propylene,1.2
128,Xylenes,TRUE,Fossil fuels,Conventional xylenes production,TRUE,0.71,1.837,1.414,0.139,3,0.0286,2.29,0.08,0,FALSE,,,,,,,,
