Chemical,Long name,product_flow_x,product_flow_y,percent,Feedstock
Acetone,Conventional benzene conversion to acetone,0.5171215123057883,1.125517861,45.94520711082596,Conventional benzene conversion to acetone
Benzene,Biomass pyrolysis to benzene,-3.5302997534895557e-16,8.186076044905388,-4.312566526530914e-15,Biomass pyrolysis to benzene
Benzene,Biomass to benzene via syngas and MTA,-3.5353012670269875e-16,8.186076044905388,-4.318676307957322e-15,Biomass to benzene via syngas and MTA
Benzene,Plastic to benzene via syngas and MTA,0.0,8.186076044905388,0.0,Plastic to benzene via syngas and MTA
Benzene,CO2 to benzene via syngas and MTA,0.0,8.186076044905388,0.0,CO2 to benzene via syngas and MTA
Benzene,CO2 to benzene via thermochem and MTA,0.0,8.186076044905388,0.0,CO2 to benzene via thermochem and MTA
Benzene,CO2 to benzene via electrochem and MTA,0.0,8.186076044905388,0.0,CO2 to benzene via electrochem and MTA
Ethylene,Biomass pyrolysis to ethylene,-7.946134173150053e-16,55.900914895424975,-1.421467642884746e-15,Biomass pyrolysis to ethylene
Ethylene,CO2 to ethylene via thermochem and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via thermochem and methanol-to-olefins
Ethylene,Biomass to ethylene via syngas and methanol-to-olefins,0.0,55.900914895424975,0.0,Biomass to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via syngas and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via electrochem and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via electrochem and methanol-to-olefins
Phenol,Conventional benzene conversion to phenol,0.8408427810000001,0.8927574039999998,94.18491263501191,Conventional benzene conversion to phenol
Propylene,Biomass to propylene via syngas and methanol-to-olefins,0.0,17.450521296476,0.0,Biomass to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via syngas and methanol-to-olefins,0.0,17.450521296476,0.0,CO2 to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via thermochem and methanol-to-olefins,0.0,17.450521296476,0.0,CO2 to propylene via thermochem and methanol-to-olefins
Propylene,Biomass pyrolysis to propylene,0.0,17.450521296476,0.0,Biomass pyrolysis to propylene
Propylene,CO2 to propylene via electrochem and methanol-to-olefins,0.0,17.450521296476,0.0,CO2 to propylene via electrochem and methanol-to-olefins
Toluene,Biomass pyrolysis to toluene,-8.292340460523067e-16,7.236769638492009,-1.1458621560117832e-14,Biomass pyrolysis to toluene
Toluene,Biomass to toluene via syngas and MTA,-1.1175165027084714e-15,7.236769638492009,-1.5442200851115365e-14,Biomass to toluene via syngas and MTA
Toluene,Plastic to toluene via syngas and MTA,0.0,7.236769638492009,0.0,Plastic to toluene via syngas and MTA
Toluene,CO2 to toluene via syngas and MTA,0.0,7.236769638492009,0.0,CO2 to toluene via syngas and MTA
Toluene,CO2 to toluene via thermochem and MTA,0.0,7.236769638492009,0.0,CO2 to toluene via thermochem and MTA
Toluene,CO2 to toluene via electrochem and MTA,0.0,7.236769638492009,0.0,CO2 to toluene via electrochem and MTA
Xylenes,Biomass pyrolysis to xylenes,-8.075543526778517e-16,9.405717830445022,-8.58578119432744e-15,Biomass pyrolysis to xylenes
Xylenes,Biomass to xylenes via syngas and MTA,0.0,9.405717830445022,0.0,Biomass to xylenes via syngas and MTA
Xylenes,Plastic to xylenes via syngas and MTA,0.0,9.405717830445022,0.0,Plastic to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via syngas and MTA,0.0,9.405717830445022,0.0,CO2 to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via thermochem and MTA,0.0,9.405717830445022,0.0,CO2 to xylenes via thermochem and MTA
Xylenes,CO2 to xylenes via electrochem and MTA,0.0,9.405717830445022,0.0,CO2 to xylenes via electrochem and MTA
"1,4-Butanediol","Ethanol fermentation to 1,4-BDO",0.03415780799999987,0.28105303599999987,12.153509702702477,"Ethanol fermentation to 1,4-BDO"
