Feedstock_flow_x,Chemical,Feedstock,Long name,Feedstock_flow_y,percent
0.764532094410345,Acetone,Benzene,Conventional benzene conversion to acetone,1.66374189778039,45.95256604587002
-1.05916406234169e-14,Benzene,Woody biomass,Biomass pyrolysis to benzene,52.02353390053356,-2.035932553845265e-14
-2.10647390694536e-14,Benzene,Woody biomass,Biomass to benzene via syngas and MTA,52.02353390053356,-4.0490788476093046e-14
0.0,Benzene,Polyolefins,Plastic to benzene via syngas and MTA,52.02353390053356,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via syngas and MTA,52.02353390053356,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via thermochem and MTA,52.02353390053356,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via electrochem and MTA,52.02353390053356,0.0
-1.05916406234169e-14,Ethylene,Woody biomass,Biomass pyrolysis to ethylene,46.34185844830729,-2.2855450726542404e-14
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,46.34185844830729,0.0
0.0,Ethylene,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,46.34185844830729,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via syngas and methanol-to-olefins,46.34185844830729,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via electrochem and methanol-to-olefins,46.34185844830729,0.0
0.764532094410345,Phenol,Benzene,Conventional benzene conversion to phenol,0.8117224867173447,94.18638844196117
0.0,Propylene,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,23.1219407178307,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via syngas and methanol-to-olefins,23.1219407178307,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,23.1219407178307,0.0
0.0,Propylene,Woody biomass,Biomass pyrolysis to propylene,23.1219407178307,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via electrochem and methanol-to-olefins,23.1219407178307,0.0
-1.05916406234169e-14,Toluene,Woody biomass,Biomass pyrolysis to toluene,14.039333098674469,-7.544261931086255e-14
-2.10647390694536e-14,Toluene,Woody biomass,Biomass to toluene via syngas and MTA,14.039333098674469,-1.5004088101195092e-13
0.0,Toluene,Polyolefins,Plastic to toluene via syngas and MTA,14.039333098674469,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via syngas and MTA,14.039333098674469,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via thermochem and MTA,14.039333098674469,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via electrochem and MTA,14.039333098674469,0.0
-1.05916406234169e-14,Xylenes,Woody biomass,Biomass pyrolysis to xylenes,21.53909383171909,-4.917403074691724e-14
0.0,Xylenes,Woody biomass,Biomass to xylenes via syngas and MTA,21.53909383171909,0.0
0.0,Xylenes,Polyolefins,Plastic to xylenes via syngas and MTA,21.53909383171909,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via syngas and MTA,21.53909383171909,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via thermochem and MTA,21.53909383171909,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via electrochem and MTA,21.53909383171909,0.0
0.0261990387359999,"1,4-Butanediol",Ethanol,"Ethanol fermentation to 1,4-BDO",0.20149465061599992,13.002349519406811
0.17529561188,"1,4-Butanediol",Butadiene,"Conventional 1,4-butanediol production",0.20149465061599992,86.99765048059318
0.0,"1,4-Butanediol",Herbaceous biomass,"Biomass fermentation to 1,4-BDO",0.20149465061599992,0.0
0.0,2-Ethylhexanol,Woody biomass,Biomass gasification to 2-ethylhexanol via syngas,0.43529325994,0.0
1.17929145432,Acetic acid,Methanol,Conventional acetic acid production,4.269336866685,27.6223566128592
3.090045412365,Acetic acid,Woody biomass,Biomass to acetic acid via syngas fermentation,4.269336866685,72.3776433871408
0.0,Acetic acid,Carbon dioxide,CO2 fermentation to acetic acid,4.269336866685,0.0
0.0,Acetic acid,Carbon dioxide,CO2 electrolysynthesis to acetic acid,4.269336866685,0.0
0.899209803370045,Acetone,Benzene,Conventional acetone production,1.66374189778039,54.04743395412998
0.0,Acetone,Carbon dioxide,CO2 fermentation to acetone,1.66374189778039,0.0
0.0,Acrylic acid,Food waste,Food waste dehydration via lactic acid,0.959606521758,0.0
0.0,Acrylic acid,Herbaceous biomass,Biomass fermentation to acrylic acid,0.959606521758,0.0
0.0,Acrylonitrile,Food waste,Food waste to acrylonitrile via VFAs,1.30748135831,0.0
0.0,Adipic acid,Butadiene,Conventional butadiene conversion to adipic acid,0.863915265129,0.0
0.0,Adipic acid,Polyethylene terephthalate,PET to adipic acid via TPA fermentation,0.863915265129,0.0
0.0,Adipic acid,Herbaceous biomass,Biomass fermentation to adipic acid,0.863915265129,0.0
0.0,Adipic acid,Polystyrene,PS to adipic acid via benzoic acid,0.863915265129,0.0
0.0,Aniline,Herbaceous biomass,Biomass fermentation to aniline,0.3513080822,0.0
