Feedstock_flow_x,Chemical,Feedstock,Long name,Feedstock_flow_y,percent
8.31927452738709e-16,Acetone,Benzene,Conventional benzene conversion to acetone,1.333376072722001,6.239255899053167e-14
1.02622145490872e-14,Benzene,Woody biomass,Biomass pyrolysis to benzene,18.10064544866141,5.669529618815951e-14
0.0,Benzene,Woody biomass,Biomass to benzene via syngas and MTA,18.10064544866141,0.0
0.0,Benzene,Polyolefins,Plastic to benzene via syngas and MTA,18.10064544866141,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via syngas and MTA,18.10064544866141,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via thermochem and MTA,18.10064544866141,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via electrochem and MTA,18.10064544866141,0.0
1.02622145490872e-14,Ethylene,Woody biomass,Biomass pyrolysis to ethylene,46.341858448307306,2.2144589994236713e-14
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,46.341858448307306,0.0
0.0,Ethylene,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,46.341858448307306,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via syngas and methanol-to-olefins,46.341858448307306,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via electrochem and methanol-to-olefins,46.341858448307306,0.0
0.0,Phenol,Benzene,Conventional benzene conversion to phenol,0.811516480235999,0.0
0.0,Propylene,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,22.0198284391533,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via syngas and methanol-to-olefins,22.0198284391533,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,22.0198284391533,0.0
0.0,Propylene,Woody biomass,Biomass pyrolysis to propylene,22.0198284391533,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via electrochem and methanol-to-olefins,22.0198284391533,0.0
1.02622145490872e-14,Toluene,Woody biomass,Biomass pyrolysis to toluene,14.039333098674511,7.309616829346461e-14
0.0,Toluene,Woody biomass,Biomass to toluene via syngas and MTA,14.039333098674511,0.0
0.0,Toluene,Polyolefins,Plastic to toluene via syngas and MTA,14.039333098674511,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via syngas and MTA,14.039333098674511,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via thermochem and MTA,14.039333098674511,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via electrochem and MTA,14.039333098674511,0.0
1.02622145490872e-14,Xylenes,Woody biomass,Biomass pyrolysis to xylenes,21.53909383171911,4.7644597443439135e-14
0.0,Xylenes,Woody biomass,Biomass to xylenes via syngas and MTA,21.53909383171911,0.0
0.0,Xylenes,Polyolefins,Plastic to xylenes via syngas and MTA,21.53909383171911,0.0
0.0,Xylenes,Carbon dioxide,CO2 to xylenes via syngas and MTA,21.53909383171911,0.0
