Feedstock_flow_x,Chemical,Feedstock,Long name,Feedstock_flow_y,percent
0.764532094410345,Acetone,Benzene,Conventional benzene conversion to acetone,1.66374189778039,45.95256604587002
4.43521051014192e-14,Benzene,Woody biomass,Biomass pyrolysis to benzene,46.81018636431042,9.474883256443231e-14
-3.97694512065973e-14,Benzene,Woody biomass,Biomass to benzene via syngas and MTA,46.81018636431042,-8.495896789874523e-14
0.0,Benzene,Polyolefins,Plastic to benzene via syngas and MTA,46.81018636431042,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via syngas and MTA,46.81018636431042,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via thermochem and MTA,46.81018636431042,0.0
0.0,Benzene,Carbon dioxide,CO2 to benzene via electrochem and MTA,46.81018636431042,0.0
4.43521051014192e-14,Ethylene,Woody biomass,Biomass pyrolysis to ethylene,46.34185844830734,9.570635832590177e-14
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via thermochem and methanol-to-olefins,46.34185844830734,0.0
0.0,Ethylene,Woody biomass,Biomass to ethylene via syngas and methanol-to-olefins,46.34185844830734,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via syngas and methanol-to-olefins,46.34185844830734,0.0
0.0,Ethylene,Carbon dioxide,CO2 to ethylene via electrochem and methanol-to-olefins,46.34185844830734,0.0
0.764532094410345,Phenol,Benzene,Conventional benzene conversion to phenol,0.8117224867173447,94.18638844196117
0.0,Propylene,Woody biomass,Biomass to propylene via syngas and methanol-to-olefins,23.4281404285638,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via syngas and methanol-to-olefins,23.4281404285638,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via thermochem and methanol-to-olefins,23.4281404285638,0.0
0.0,Propylene,Woody biomass,Biomass pyrolysis to propylene,23.4281404285638,0.0
0.0,Propylene,Carbon dioxide,CO2 to propylene via electrochem and methanol-to-olefins,23.4281404285638,0.0
4.43521051014192e-14,Toluene,Woody biomass,Biomass pyrolysis to toluene,14.039333098674506,3.159131903894111e-13
-3.97694512065973e-14,Toluene,Woody biomass,Biomass to toluene via syngas and MTA,14.039333098674506,-2.832716549075401e-13
0.0,Toluene,Polyolefins,Plastic to toluene via syngas and MTA,14.039333098674506,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via syngas and MTA,14.039333098674506,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via thermochem and MTA,14.039333098674506,0.0
0.0,Toluene,Carbon dioxide,CO2 to toluene via electrochem and MTA,14.039333098674506,0.0
4.43521051014192e-14,Xylenes,Woody biomass,Biomass pyrolysis to xylenes,21.539093831719143,2.059144430491542e-13
0.0,Xylenes,Woody biomass,Biomass to xylenes via syngas and MTA,21.539093831719143,0.0
0.0,Xylenes,Polyolefins,Plastic to xylenes via syngas and MTA,21.539093831719143,0.0
