Chemical,Long name,product_flow_x,product_flow_y,percent,Feedstock
Acetone,Conventional benzene conversion to acetone,0.5171215123057883,1.125517861,45.94520711082596,Conventional benzene conversion to acetone
Benzene,Biomass pyrolysis to benzene,1.4783000223790733e-15,7.322160779776391,2.018939581963425e-14,Biomass pyrolysis to benzene
Benzene,Biomass to benzene via syngas and MTA,-6.674518529571245e-16,7.322160779776391,-9.115503920654247e-15,Biomass to benzene via syngas and MTA
Benzene,Plastic to benzene via syngas and MTA,0.0,7.322160779776391,0.0,Plastic to benzene via syngas and MTA
Benzene,CO2 to benzene via syngas and MTA,0.0,7.322160779776391,0.0,CO2 to benzene via syngas and MTA
Benzene,CO2 to benzene via thermochem and MTA,0.0,7.322160779776391,0.0,CO2 to benzene via thermochem and MTA
Benzene,CO2 to benzene via electrochem and MTA,0.0,7.322160779776391,0.0,CO2 to benzene via electrochem and MTA
Ethylene,Biomass pyrolysis to ethylene,3.327414425470145e-15,55.900914895424975,5.952343412795317e-15,Biomass pyrolysis to ethylene
Ethylene,CO2 to ethylene via thermochem and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via thermochem and methanol-to-olefins
Ethylene,Biomass to ethylene via syngas and methanol-to-olefins,0.0,55.900914895424975,0.0,Biomass to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via syngas and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via electrochem and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via electrochem and methanol-to-olefins
Phenol,Conventional benzene conversion to phenol,0.8408427810000001,0.8927574039999998,94.18491263501191,Conventional benzene conversion to phenol
Propylene,Biomass to propylene via syngas and methanol-to-olefins,0.0,17.681615417784002,0.0,Biomass to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via syngas and methanol-to-olefins,0.0,17.681615417784002,0.0,CO2 to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via thermochem and methanol-to-olefins,0.0,17.681615417784002,0.0,CO2 to propylene via thermochem and methanol-to-olefins
Propylene,Biomass pyrolysis to propylene,0.0,17.681615417784002,0.0,Biomass pyrolysis to propylene
Propylene,CO2 to propylene via electrochem and methanol-to-olefins,0.0,17.681615417784002,0.0,CO2 to propylene via electrochem and methanol-to-olefins
Toluene,Biomass pyrolysis to toluene,3.4723870334945518e-15,7.236769638492013,4.798255584957548e-14,Biomass pyrolysis to toluene
Toluene,Biomass to toluene via syngas and MTA,-2.1098299808270365e-15,7.236769638492013,-2.915430621979394e-14,Biomass to toluene via syngas and MTA
Toluene,Plastic to toluene via syngas and MTA,0.0,7.236769638492013,0.0,Plastic to toluene via syngas and MTA
Toluene,CO2 to toluene via syngas and MTA,0.0,7.236769638492013,0.0,CO2 to toluene via syngas and MTA
Toluene,CO2 to toluene via thermochem and MTA,0.0,7.236769638492013,0.0,CO2 to toluene via thermochem and MTA
Toluene,CO2 to toluene via electrochem and MTA,0.0,7.236769638492013,0.0,CO2 to toluene via electrochem and MTA
Xylenes,Biomass pyrolysis to xylenes,3.381604115786363e-15,9.405717830445026,3.595264260257278e-14,Biomass pyrolysis to xylenes
Xylenes,Biomass to xylenes via syngas and MTA,0.0,9.405717830445026,0.0,Biomass to xylenes via syngas and MTA
Xylenes,Plastic to xylenes via syngas and MTA,0.0,9.405717830445026,0.0,Plastic to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via syngas and MTA,0.0,9.405717830445026,0.0,CO2 to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via thermochem and MTA,0.0,9.405717830445026,0.0,CO2 to xylenes via thermochem and MTA
Xylenes,CO2 to xylenes via electrochem and MTA,0.0,9.405717830445026,0.0,CO2 to xylenes via electrochem and MTA
"1,4-Butanediol","Ethanol fermentation to 1,4-BDO",0.0,0.28105303600000003,0.0,"Ethanol fermentation to 1,4-BDO"
"1,4-Butanediol","Conventional 1,4-butanediol production",0.24689522800000002,0.28105303600000003,87.84649029729748,"Conventional 1,4-butanediol production"
"1,4-Butanediol","Biomass fermentation to 1,4-BDO",0.034157808,0.28105303600000003,12.153509702702516,"Biomass fermentation to 1,4-BDO"
2-Ethylhexanol,Biomass gasification to 2-ethylhexanol via syngas,0.0,0.565315922,0.0,Biomass gasification to 2-ethylhexanol via syngas
Acetic acid,Conventional acetic acid production,2.1058775969999997,3.587913766,58.693651362411245,Conventional acetic acid production
Acetic acid,Biomass to acetic acid via syngas fermentation,1.482036169,3.587913766,41.30634863758874,Biomass to acetic acid via syngas fermentation
Acetic acid,CO2 fermentation to acetic acid,0.0,3.587913766,0.0,CO2 fermentation to acetic acid
Acetic acid,CO2 electrolysynthesis to acetic acid,0.0,3.587913766,0.0,CO2 electrolysynthesis to acetic acid
Acetone,Conventional acetone production,0.6083963486942117,1.125517861,54.05479288917403,Conventional acetone production
Acetone,CO2 fermentation to acetone,0.0,1.125517861,0.0,CO2 fermentation to acetone
Acrylic acid,Food waste dehydration via lactic acid,0.0,1.372827642,0.0,Food waste dehydration via lactic acid
Acrylic acid,Biomass fermentation to acrylic acid,0.0,1.372827642,0.0,Biomass fermentation to acrylic acid
Acrylonitrile,Propylene conventional conversion to acrylonitril,1.0099050379999999,1.2693993770000014,79.55770707771497,Propylene conventional conversion to acrylonitril
Acrylonitrile,Food waste to acrylonitrile via VFAs,0.25949433900000146,1.2693993770000014,20.442292922285024,Food waste to acrylonitrile via VFAs
Adipic acid,Conventional benzene conversion to adipic acid,0.0,1.092181119,0.0,Conventional benzene conversion to adipic acid
Adipic acid,PET to adipic acid via TPA fermentation,0.0,1.092181119,0.0,PET to adipic acid via TPA fermentation
Adipic acid,Biomass fermentation to adipic acid,0.0,1.092181119,0.0,Biomass fermentation to adipic acid
Adipic acid,PS to adipic acid via benzoic acid,0.0,1.092181119,0.0,PS to adipic acid via benzoic acid
Aniline,Biomass fermentation to aniline,0.0,0.40849777,0.0,Biomass fermentation to aniline
